,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.5749786311575884,0,0.7381046865249499,0,0.027327880263328552,0.320581425980876
Group 0 std,std,0.0035571209562716513,0,0.003941088157579982,0,0.00036020527477376163,0.008955337982049626
Group 1 mean,mean,0.5836334091527463,0,0.7376943456768028,0,0.024965597316622734,0.3354938980748008
Group 1 std,std,0.001101628396270671,0,0.0023640949617201577,0,9.809450421016663e-05,0.0026109613433862974
Group 2 mean,mean,0.5879567979685617,0,0.746074368382105,0,0.025630738586187363,0.33595641013482813
Group 2 std,std,0.0009078436835980452,0,0.001979103089150535,0,0.0003547815140336752,0.009191710073999663
Group 3 mean,mean,0.5971239625652276,0,0.7399319578952956,0,0.025703255087137222,0.34780777403837393
Group 3 std,std,0.0024737443659497774,0,0.002343163666816316,0,0.00011676282156258821,0.0029627301550911147
Group 4 mean,mean,0.5831556795693807,0,0.7301364693827824,0,0.026437908411026,0.3277154452699844
Group 4 std,std,0.0015632976037712326,0,0.0028360391512808844,0,0.0005336495814844966,0.013570068477040766
Overall mean,mean,0.5853696960827011,0,0.7383883655723871,0,0.026013076305389404,0.33351099069977264
Overall std,std,0.0076287561336077355,0,0.005790985230916077,0,0.0008779127383604646,0.012133062700572655
